lemma,count,observed_forms,noun,proper_noun,verb,auxiliary,adjective,adverb,pronoun,other
small,118,small=91; smaller=26; smallest=1,0,1,0,0,117,0,0,0
painting,117,paintings=62; painting=55,116,1,0,0,0,0,0,0
speak,117,speaking=79; speak=28; spoke=4; spoken=4; speaks=2,0,5,112,0,0,0,0,0
affect,116,affect=57; affected=25; affecting=17; affects=17,1,0,115,0,0,0,0,0
buy,116,buy=82; bought=20; buying=14,1,12,103,0,0,0,0,0
method,116,methods=65; method=51,116,0,0,0,0,0,0,0
topic,116,topic=94; topics=22,116,0,0,0,0,0,0,0
visit,116,visit=77; visited=19; visiting=19; visits=1,13,11,92,0,0,0,0,0
live,115,live=59; living=38; lived=11; lives=7,0,2,99,0,11,3,0,0
without,115,without=115,0,0,0,0,0,0,0,115
come,114,come=53; coming=23; came=21; comes=17,0,0,113,0,1,0,0,0
open,114,open=81; opened=16; opening=9; opens=8,0,0,46,0,67,0,0,1
control,113,control=82; controlled=21; controlling=5; controls=5,60,5,48,0,0,0,0,0
even,113,even=113,0,0,0,0,0,113,0,0
feedback,113,feedback=113,111,2,0,0,0,0,0,0
imply,112,imply=109; implies=2; implied=1,0,0,112,0,0,0,0,0
shape,112,shape=58; shaped=25; shaping=16; shapes=13,47,0,65,0,0,0,0,0
cost,111,cost=67; costs=44,101,1,9,0,0,0,0,0
development,111,development=105; developments=6,111,0,0,0,0,0,0,0
really,111,really=111,0,0,0,0,0,111,0,0
type,111,types=60; type=47; typing=4,107,0,4,0,0,0,0,0
participate,110,participate=92; participating=11; participated=7,1,0,109,0,0,0,0,0
those,110,those=110,0,0,0,0,0,0,0,110
let,109,let=103; letting=5; lets=1,1,4,104,0,0,0,0,0
narrator,109,narrator=109,109,0,0,0,0,0,0,0
century,108,century=71; centuries=37,108,0,0,0,0,0,0,0
meaning,108,meaning=108,108,0,0,0,0,0,0,0
complex,107,complex=106; complexes=1,9,3,0,0,95,0,0,0
hour,107,hours=74; hour=33,107,0,0,0,0,0,0,0
involve,107,involves=56; involved=28; involve=12; involving=11,0,0,107,0,0,0,0,0
less,107,less=107,0,0,0,0,35,72,0,0
meet,107,meet=64; meeting=15; meets=14; met=14,0,2,105,0,0,0,0,0
meeting,107,meeting=96; meetings=11,105,2,0,0,0,0,0,0
condition,106,conditions=99; condition=7,106,0,0,0,0,0,0,0
must,106,must=106,1,0,0,105,0,0,0,0
product,106,products=67; product=39,105,1,0,0,0,0,0,0
room,106,room=90; rooms=16,97,9,0,0,0,0,0,0
train,106,train=54; training=35; trained=15; trains=2,45,0,61,0,0,0,0,0
agree,105,agree=53; agreed=34; agreeing=18,0,0,105,0,0,0,0,0
