lemma,count,observed_forms,noun,proper_noun,verb,auxiliary,adjective,adverb,pronoun,other
read,1197,read=670; reading=521; reads=6,6,7,1184,0,0,0,0,0
following,1196,following=1196,649,0,0,0,547,0,0,0
researcher,1183,researchers=1112; researcher=71,1181,2,0,0,0,0,0,0
play,1182,play=641; plays=260; played=163; playing=118,578,2,598,0,4,0,0,0
life,1178,life=1025; lives=145; lifes=8,1154,20,4,0,0,0,0,0
university,1173,university=1099; universities=74,1072,101,0,0,0,0,0,0
surface,1167,surface=1070; surfaces=92; surfaced=3; surfacing=2,1154,5,8,0,0,0,0,0
painting,1166,paintings=628; painting=538,1160,6,0,0,0,0,0,0
course,1157,course=917; courses=239; coursing=1,1051,2,1,0,0,103,0,0
population,1155,population=726; populations=429,1142,13,0,0,0,0,0,0
too,1155,too=1155,0,1,0,0,0,1154,0,0
material,1150,materials=598; material=552,1134,1,1,0,14,0,0,0
square,1149,square=783; squares=364; squared=2,738,0,3,0,408,0,0,0
problem,1147,problem=767; problems=380,1145,2,0,0,0,0,0,0
any,1142,any=1142,0,0,0,0,0,4,0,1138
mention,1137,mention=649; mentioned=294; mentions=181; mentioning=13,19,0,1118,0,0,0,0,0
around,1126,around=1126,0,0,0,0,0,305,0,821
word,1126,word=673; words=451; worded=2,1123,1,2,0,0,0,0,0
few,1121,few=917; fewer=203; fewest=1,0,0,0,0,1121,0,0,0
narrator,1113,narrator=1112; narrators=1,1113,0,0,0,0,0,0,0
evidence,1107,evidence=1104; evidenced=3,1054,50,3,0,0,0,0,0
number,1106,number=858; numbers=245; numbered=3,1101,1,4,0,0,0,0,0
ocean,1096,ocean=864; oceans=232,945,139,2,0,10,0,0,0
start,1092,start=454; started=448; starting=126; starts=64,57,0,1035,0,0,0,0,0
add,1088,added=504; add=494; adding=68; adds=22,0,0,1088,0,0,0,0,0
begin,1082,began=599; begin=236; beginning=108; begun=77; begins=62,0,2,1080,0,0,0,0,0
period,1082,period=826; periods=256,1054,28,0,0,0,0,0,0
summary,1077,summary=1077,1077,0,0,0,0,0,0,0
sure,1072,sure=1071; surest=1,0,2,0,0,857,23,0,190
site,1069,site=573; sites=496,1061,7,1,0,0,0,0,0
able,1068,able=1068,0,0,0,0,1068,0,0,0
kind,1068,kind=722; kinds=345; kinder=1,862,0,0,0,5,201,0,0
light,1067,light=873; lights=94; lighter=59; lit=32; lighting=7; lighted=1; lightest=1,657,17,56,0,336,1,0,0
result,1062,result=527; results=295; resulted=156; resulting=84,706,0,356,0,0,0,0,0
develop,1061,developed=574; develop=324; developing=118; develops=45,2,0,1059,0,0,0,0,0
city,1056,city=619; cities=437,989,67,0,0,0,0,0,0
space,1050,space=585; spaces=453; spaced=12,1029,8,13,0,0,0,0,0
company,1046,company=635; companies=411,1035,11,0,0,0,0,0,0
move,1034,move=453; moving=270; moved=236; moves=75,70,3,961,0,0,0,0,0
support,1034,support=681; supported=149; supports=136; supporting=68,183,3,848,0,0,0,0,0
opinion,1023,opinion=947; opinions=76,1023,0,0,0,0,0,0,0
theory,1020,theory=798; theories=222,1018,1,1,0,0,0,0,0
land,1014,land=921; lands=62; landed=17; landing=14,946,19,49,0,0,0,0,0
yeah,1012,yeah=1012,0,2,0,0,0,0,0,1010
both,1009,both=1009,0,0,0,0,0,3,0,1006
process,1002,process=786; processes=180; processed=22; processing=14,914,1,87,0,0,0,0,0
reason,1001,reasons=506; reason=482; reasoned=12; reasoning=1,987,0,14,0,0,0,0,0
fish,1000,fish=967; fishes=17; fishing=11; fished=5,936,23,41,0,0,0,0,0
while,1000,while=1000,110,0,0,0,0,0,0,890
okay,996,okay=996,0,3,0,0,99,4,0,890
something,989,something=988; somethings=1,1,0,0,0,0,0,988,0
talk,986,talk=454; talking=342; talked=111; talks=79,54,1,931,0,0,0,0,0
probably,983,probably=983,0,0,0,0,0,983,0,0
response,981,response=920; responses=61,979,1,1,0,0,0,0,0
enough,976,enough=976,0,0,0,0,571,405,0,0
back,963,back=939; backs=17; backed=6; backing=1,58,1,23,0,14,825,0,42
today,962,today=962,962,0,0,0,0,0,0,0
since,960,since=960,0,0,0,0,0,16,0,944
still,960,still=959; stilling=1,0,0,1,0,1,958,0,0
plan,957,plan=685; plans=141; planning=85; planned=46,543,4,410,0,0,0,0,0
old,956,old=641; older=225; oldest=80; olds=10,10,140,0,0,806,0,0,0
lead,954,led=472; lead=289; leading=114; leads=79,40,0,905,0,9,0,0,0
day,952,day=713; days=239,941,11,0,0,0,0,0,0
temperature,945,temperature=511; temperatures=434,940,4,1,0,0,0,0,0
certain,934,certain=934,0,4,0,0,930,0,0,0
eat,933,eat=482; eating=243; eaten=102; ate=63; eats=43,4,0,929,0,0,0,0,0
location,930,location=733; locations=197,928,2,0,0,0,0,0,0
planet,929,planet=544; planets=385,926,3,0,0,0,0,0,0
world,928,world=921; worlds=7,757,171,0,0,0,0,0,0
ancient,927,ancient=927,4,45,0,0,878,0,0,0
include,924,including=330; include=318; included=183; includes=93,0,3,921,0,0,0,0,0
product,920,products=521; product=399,919,0,1,0,0,0,0,0
allow,918,allowed=323; allow=307; allows=182; allowing=106,0,0,918,0,0,0,0,0
learn,910,learn=466; learned=242; learning=185; learns=17,2,1,907,0,0,0,0,0
effect,909,effect=536; effects=372; effected=1,898,9,2,0,0,0,0,0
own,905,own=802; owned=76; owning=16; owns=11,0,0,131,0,774,0,0,0
leave,904,leave=394; left=319; leaving=116; leaves=63; leaved=12,4,1,899,0,0,0,0,0
let,898,let=844; lets=29; letting=25,6,0,892,0,0,0,0,0
soil,898,soil=794; soils=104,887,11,0,0,0,0,0,0
amount,897,amount=629; amounts=266; amounted=2,889,0,8,0,0,0,0,0
indicate,895,indicate=710; indicates=109; indicated=44; indicating=32,0,0,895,0,0,0,0,0
end,886,end=665; ended=139; ends=65; ending=17,513,0,373,0,0,0,0,0
meaning,868,meaning=850; meanings=18,867,1,0,0,0,0,0,0
artist,860,artists=586; artist=274,855,4,0,0,1,0,0,0
however,847,however=847,0,0,0,0,0,846,0,1
answer,846,answer=695; answers=96; answered=31; answering=24,682,0,164,0,0,0,0,0
keep,845,keep=528; kept=148; keeping=106; keeps=63,0,0,845,0,0,0,0,0
three,844,three=844,0,2,0,0,0,0,0,842
here,842,here=842,0,0,0,0,0,842,0,0
environment,838,environment=663; environments=175,832,5,1,0,0,0,0,0
view,832,view=679; views=68; viewed=47; viewing=37; viewer=1,329,360,142,0,1,0,0,0
employee,830,employee=583; employees=247,816,14,0,0,0,0,0,0
conversation,829,conversation=807; conversations=22,825,4,0,0,0,0,0,0
believe,822,believe=488; believed=208; believes=119; believing=7,0,0,822,0,0,0,0,0
rock,819,rock=468; rocks=351,805,12,2,0,0,0,0,0
seem,817,seems=381; seem=316; seemed=118; seeming=2,0,0,817,0,0,0,0,0
source,813,source=453; sources=360,812,1,0,0,0,0,0,0
body,809,body=545; bodies=264,807,1,1,0,0,0,0,0
belong,807,belong=744; belonged=30; belonging=19; belongs=14,0,0,807,0,0,0,0,0
predator,806,predators=590; predator=216,805,1,0,0,0,0,0,0
scientist,805,scientists=746; scientist=59,800,2,2,0,1,0,0,0
occur,804,occurred=310; occur=246; occurs=169; occurring=79,3,0,801,0,0,0,0,0
down,802,down=800; downs=2,3,0,0,0,4,110,0,685
heat,798,heat=716; heated=55; heats=15; heating=12,651,18,129,0,0,0,0,0
build,793,built=373; build=260; building=143; builds=17,7,0,786,0,0,0,0,0
paper,790,paper=697; papers=93,783,7,0,0,0,0,0,0
try,790,try=349; trying=283; tried=138; tries=20,8,0,782,0,0,0,0,0
energy,789,energy=782; energies=7,783,6,0,0,0,0,0,0
fact,787,fact=731; facts=56,786,0,1,0,0,0,0,0
building,783,building=425; buildings=358,771,12,0,0,0,0,0,0
field,783,field=461; fields=321; fielding=1,776,6,1,0,0,0,0,0
true,783,true=783,1,2,0,0,780,0,0,0
atmosphere,777,atmosphere=749; atmospheres=28,773,4,0,0,0,0,0,0
follow,777,following=502; follow=156; followed=100; follows=19,6,0,771,0,0,0,0,0
history,777,history=759; histories=18,767,10,0,0,0,0,0,0
describe,774,describe=315; described=275; describes=148; describing=36,1,0,773,0,0,0,0,0
require,772,required=354; require=218; requires=164; requiring=36,0,1,770,0,1,0,0,0
last,770,last=655; lasting=49; lasted=43; lasts=23,1,3,169,0,585,12,0,0
behavior,766,behavior=615; behaviors=151,756,10,0,0,0,0,0,0
ask,765,ask=457; asked=204; asking=80; asks=24,2,0,763,0,0,0,0,0
paint,765,paint=331; painted=186; paints=129; painting=119,366,4,395,0,0,0,0,0
design,762,design=394; designed=188; designs=147; designing=33,477,4,281,0,0,0,0,0
second,761,second=743; seconds=18,50,28,1,0,557,90,0,35
far,759,far=556; further=109; farther=94,0,5,0,0,10,744,0,0
oh,756,oh=756,0,1,0,0,0,0,0,755
color,754,color=405; colors=288; colored=52; coloring=9,675,13,66,0,0,0,0,0
ago,753,ago=753,0,0,0,0,0,742,0,11
several,751,several=751,0,1,0,0,750,0,0,0
possible,746,possible=746,0,2,0,0,744,0,0,0
size,742,size=673; sizes=64; sized=3; sizing=2,731,5,6,0,0,0,0,0
