lemma,count,observed_forms,noun,proper_noun,verb,auxiliary,adjective,adverb,pronoun,other
show,1583,show=829; shows=273; showed=197; shown=180; showing=104,167,3,1413,0,0,0,0,0
high,1561,high=1134; higher=367; highest=60,3,26,1,0,1494,37,0,0
researcher,1558,researchers=1246; researcher=312,1556,2,0,0,0,0,0,0
another,1557,another=1557,0,0,0,0,0,0,0,1557
call,1554,called=1095; call=322; calls=109; calling=28,124,2,1428,0,0,0,0,0
fill,1543,fill=1404; filled=111; filling=20; fills=8,221,1082,240,0,0,0,0,0
information,1543,information=1543,1508,35,0,0,0,0,0,0
create,1537,create=642; created=485; creating=271; creates=139,0,2,1535,0,0,0,0,0
our,1533,our=1529; ours=4,4,0,0,0,0,0,1529,0
place,1533,place=853; places=481; placed=153; placing=46,1248,4,281,0,0,0,0,0
discuss,1532,discuss=757; discussing=394; discusses=193; discussed=188,0,12,1520,0,0,0,0,0
increase,1531,increase=578; increased=543; increasing=233; increases=177,314,4,1213,0,0,0,0,0
tree,1529,trees=970; tree=559,1512,14,3,0,0,0,0,0
research,1525,research=1470; researching=30; researched=20; researches=5,1372,68,85,0,0,0,0,0
second,1525,second=775; seconds=750,783,28,1,0,587,91,0,35
after,1524,after=1524,0,0,0,0,0,70,0,1454
suggest,1523,suggest=770; suggests=487; suggested=180; suggesting=86,2,1,1520,0,0,0,0,0
university,1514,university=1436; universities=78,1369,144,0,0,1,0,0,0
type,1491,type=760; types=725; typing=5; typed=1,1480,1,10,0,0,0,0,0
reading,1486,reading=1457; readings=29,1320,166,0,0,0,0,0,0
system,1486,system=1043; systems=443,1475,11,0,0,0,0,0,0
often,1469,often=1469,0,0,0,0,0,1469,0,0
express,1468,express=1004; expresses=382; expressed=60; expressing=22,2,21,1441,0,4,0,0,0
human,1462,human=880; humans=582,629,14,1,0,817,1,0,0
bird,1454,birds=1030; bird=424,1434,11,4,0,5,0,0,0
close,1453,closest=699; close=441; closer=186; closed=89; closes=21; closing=17,10,3,172,0,1033,235,0,0
actually,1434,actually=1434,0,0,0,0,0,1434,0,0
grow,1429,grow=582; growing=418; grew=178; grown=148; grows=103,4,1,1424,0,0,0,0,0
each,1415,each=1415,0,0,0,0,0,1,0,1414
mention,1413,mention=838; mentioned=349; mentions=211; mentioning=15,22,3,1388,0,0,0,0,0
through,1407,through=1407,0,0,0,0,0,41,0,1366
life,1379,life=1207; lives=164; lifes=8,1354,21,4,0,0,0,0,0
century,1373,century=1094; centuries=279,1359,13,0,0,1,0,0,0
female,1371,female=1185; females=186,241,838,2,0,290,0,0,0
talk,1364,talk=801; talking=365; talked=118; talks=80,357,2,1005,0,0,0,0,0
cause,1358,caused=502; cause=494; causes=222; causing=140,210,1,1145,0,0,0,0,2
too,1355,too=1355,0,1,0,0,0,1354,0,0
thing,1352,things=754; thing=598,1352,0,0,0,0,0,0,0
play,1341,play=718; plays=288; played=202; playing=133,597,6,734,0,4,0,0,0
male,1328,male=1131; males=197,265,788,0,0,275,0,0,0
start,1328,start=562; started=491; starting=179; starts=96,76,2,1250,0,0,0,0,0
read,1326,read=733; reading=587; reads=6,6,13,1307,0,0,0,0,0
less,1322,less=1311; lesser=11,0,0,0,0,557,765,0,0
problem,1315,problem=866; problems=449,1313,2,0,0,0,0,0,0
conversation,1308,conversation=1272; conversations=36,1303,5,0,0,0,0,0,0
present,1305,presented=583; present=458; presents=221; presenting=43,43,4,958,0,300,0,0,0
course,1295,course=1027; courses=267; coursing=1,1173,2,1,0,0,119,0,0
any,1294,any=1294,0,0,0,0,0,4,0,1290
material,1290,materials=701; material=589,1272,1,1,0,16,0,0,0
select,1290,select=845; selecting=383; selected=61; selects=1,0,3,923,0,364,0,0,0
painting,1283,paintings=690; painting=593,1276,7,0,0,0,0,0,0
following,1277,following=1277,717,0,0,0,560,0,0,0
city,1272,city=731; cities=541,1188,84,0,0,0,0,0,0
choice,1263,choices=1108; choice=155,1261,2,0,0,0,0,0,0
while,1249,while=1249,118,0,0,0,0,0,0,1131
surface,1226,surface=1112; surfaces=109; surfaced=3; surfacing=2,1212,5,9,0,0,0,0,0
narrator,1222,narrator=1221; narrators=1,1222,0,0,0,0,0,0,0
population,1220,population=758; populations=462,1207,13,0,0,0,0,0,0
few,1218,few=996; fewer=221; fewest=1,0,0,0,0,1218,0,0,0
space,1217,space=674; spaces=531; spaced=12,1185,19,13,0,0,0,0,0
around,1208,around=1208,0,0,0,0,0,320,0,888
begin,1203,began=634; begin=294; beginning=119; begun=81; begins=75,0,3,1200,0,0,0,0,0
sure,1203,sure=1202; surest=1,0,36,0,0,931,26,0,210
blank,1197,blank=1087; blanks=110,110,0,0,0,1087,0,0,0
light,1190,light=980; lights=105; lighter=62; lit=33; lighting=8; lighted=1; lightest=1,738,18,60,0,373,1,0,0
number,1185,number=921; numbers=261; numbered=3,1179,2,4,0,0,0,0,0
develop,1184,developed=625; develop=362; developing=150; develops=47,2,0,1182,0,0,0,0,0
ocean,1184,ocean=940; oceans=244,1026,144,4,0,10,0,0,0
process,1175,process=897; processes=236; processed=24; processing=18,1068,1,106,0,0,0,0,0
answer,1172,answer=1009; answers=103; answered=35; answering=25,705,0,467,0,0,0,0,0
lead,1171,led=529; lead=375; leading=157; leads=110,50,0,1111,0,10,0,0,0
theory,1171,theory=920; theories=251,1159,11,1,0,0,0,0,0
support,1168,support=777; supported=161; supports=155; supporting=75,214,4,950,0,0,0,0,0
learn,1165,learn=565; learning=315; learned=265; learns=20,2,2,1161,0,0,0,0,0
result,1160,result=567; results=337; resulted=160; resulting=96,770,0,390,0,0,0,0,0
complete,1158,complete=662; completed=468; completing=27; completes=1,0,6,1015,0,137,0,0,0
move,1157,move=509; moving=303; moved=259; moves=86,83,4,1070,0,0,0,0,0
square,1154,square=787; squares=365; squared=2,742,0,3,0,409,0,0,0
kind,1147,kind=773; kinds=373; kinder=1,928,0,0,0,6,213,0,0
today,1145,today=1145,1145,0,0,0,0,0,0,0
evidence,1144,evidence=1141; evidenced=3,1090,51,3,0,0,0,0,0
able,1137,able=1137,0,0,0,0,1137,0,0,0
plan,1135,plan=748; plans=189; planning=144; planned=54,609,8,518,0,0,0,0,0
period,1132,period=860; periods=272,1104,28,0,0,0,0,0,0
add,1130,add=511; added=510; adding=85; adds=24,0,1,1129,0,0,0,0,0
company,1118,company=671; companies=447,1107,11,0,0,0,0,0,0
site,1116,site=605; sites=511,1107,8,1,0,0,0,0,0
opinion,1101,opinion=1003; opinions=98,1101,0,0,0,0,0,0,0
include,1098,including=398; include=385; included=199; includes=116,0,3,1095,0,0,0,0,0
campus,1094,campus=1088; campuses=6,1037,55,1,0,1,0,0,0
day,1094,day=823; days=271,1082,12,0,0,0,0,0,0
both,1092,both=1092,0,0,0,0,0,3,0,1089
still,1084,still=1083; stilling=1,0,0,1,0,1,1082,0,0
summary,1082,summary=1082,1082,0,0,0,0,0,0,0
ancient,1068,ancient=1068,4,58,0,0,1006,0,0,0
land,1068,land=971; lands=63; landed=18; landing=16,996,20,52,0,0,0,0,0
back,1065,back=1037; backs=17; backed=8; backing=3,74,1,30,0,20,892,0,48
temperature,1065,temperature=577; temperatures=488,1058,6,1,0,0,0,0,0
effect,1064,effect=607; effects=456; effected=1,1045,16,3,0,0,0,0,0
allow,1059,allowed=361; allow=337; allows=228; allowing=133,0,0,1059,0,0,0,0,0
reason,1057,reasons=528; reason=515; reasoned=13; reasoning=1,1042,0,15,0,0,0,0,0
something,1054,something=1053; somethings=1,1,0,0,0,0,0,1053,0
ask,1052,ask=706; asked=228; asking=91; asks=27,3,1,1048,0,0,0,0,0
enough,1047,enough=1047,0,0,0,0,615,432,0,0
probably,1041,probably=1041,0,0,0,0,0,1041,0,0
yeah,1038,yeah=1038,0,2,0,0,0,0,0,1036
fish,1035,fish=1002; fishes=17; fishing=11; fished=5,970,23,42,0,0,0,0,0
